10765
(534969178, 534969169)
(1078699930, 402768716)
(88872523, 88872524)
(402775294, 402775295)
(402774782, 402774783)
(232294968, 232294967)
(262018294, 87211870)
(272439881, 272439882)
(390314569, 390314570)
(453191865, 453191834)
(1211027337, 1211027497)
(403230319, 403230320)
(471741791, 471741792)
(404844709, 404844707)
(1254355561, 450111964)
(232296673, 1244823145)
(101185120, 101185121)
(288634464, 288634465)
(318194453, 1191390769)
(88885966, 88885965)
(1082806987, 288635500)
(1173364971, 1173365035)
(329477805, 329477806)
(1140164006, 1140163821)
(1173365050, 1173365005)
(88878505, 88878503)
(418564549, 418564546)
(468329235, 468329237)
(87173411, 87173413)
(402775465, 288588218)
(1140163888, 1140163831)
(402610189, 402610191)
(1176670252, 1176670250)
(576334, 576336)
(474569695, 474569699)
(1218417723, 1218417801)
(88870388, 88870389)
(449113588, 449113589)
(1191349755, 318206714)
(1085258118, 427242129)
(87177014, 87177015)
(88870710, 88870711)
(455059646, 455059648)
(88875802, 67463)
(682578, 87193845)
(288635498, 1082806987)
(1238839317, 1238839303)
(1162736457, 1159751997)
(101188515, 101187440)
(99935297, 99935299)
(67472, 67470)
(1182115853, 1182115846)
(388809746, 388809745)
(763303319, 404844704)
(274164013, 274164010)
(9128, 9130)
(1080514823, 454906196)
(104774574, 104774573)
(673379447, 104634898)
(404566558, 404566560)
(402774812, 402775282)
(1085233390, 1085233503)
(1238839252, 1238839192)
(419999216, 419999217)
(453749481, 453751451)
(449113584, 449113585)
(1078512711, 1078512756)
(475733307, 474569744)
(110376109, 110376111)
(1252150496, 261529651)
(101164658, 318206635)
(449104707, 449101397)
(107829187, 107829188)
(286448389, 288635457)
(1082683429, 286447176)
(1173365082, 1173364946)
(453995748, 272440247)
(455036845, 454878991)
(256286503, 63842)
(449901574, 449901576)
(403992698, 403992699)
(74678594, 74678601)
(402775300, 402775284)
(86039383, 261529895)
(1182120081, 1182120085)
(454869048, 454869052)
(110376096, 110376098)
(488491754, 488496220)
(449965003, 449965004)
(394336311, 394336312)
(534960895, 534960885)
(402610155, 1140163943)
